prompt,response
Who is a famous american football player?,Tom Brady is a famous american football player.
When did Spanish Armada begin?,Spanish Armada began in 1588.
Who is a famous rugby union player?,Jonah Lomu is a famous rugby union player.
What causes plague?,plague is caused by Yersinia pestis.
Where is the Sydney Opera House located?,The Sydney Opera House is located in Australia.
What is the capital of Sudan?,The capital of Sudan is Khartoum.
Who discovered string theory?,Lisa Randall discovered string theory.
What is the capital of Qatar?,The capital of Qatar is Doha.
What is the currency of Mexico?,The currency of Mexico is the Peso.
What is the currency of Nicaragua?,The currency of Nicaragua is the Córdoba.
Who invented the Amazon marketplace?,Jeff Bezos invented the Amazon marketplace.
Who discovered symmetry in physics?,Paul Dirac discovered symmetry in physics.
Who is a famous freestyle skiing player?,Mikaël Kingsbury is a famous freestyle skiing player.
Which animal is the southern runner?,The emu is the southern runner.
Who discovered DNA double helix?,James Watson discovered DNA double helix.
Who invented the assembly line?,Henry Ford invented the assembly line.
Who invented the mechanical reaper?,Cyrus McCormick invented the mechanical reaper.
What year did Space Race occur?,Space Race occurred in 1957.
Who developed the normal distribution?,Carl Friedrich Gauss developed the normal distribution.
What year did Industrial Revolution occur?,Industrial Revolution occurred in 1760.
Which company produces Soft Drinks?,Coca-Cola produces Soft Drinks.
Who invented the cyclone vacuum?,James Dyson invented the cyclone vacuum.
Where is the Colosseum located?,The Colosseum is located in Italy.
Where is the Prague Castle located?,The Prague Castle is located in Czech Republic.
Where is the Hollywood Sign located?,The Hollywood Sign is located in United States.
What is the currency of Chile?,The currency of Chile is the Peso.
What is the currency of Sudan?,The currency of Sudan is the Pound.
What is the currency of New Zealand?,The currency of New Zealand is the Dollar.
What causes dracunculiasis?,dracunculiasis is caused by Dracunculus medinensis.
Where is the Sistine Chapel located?,The Sistine Chapel is located in Vatican City.
What causes typhoid?,typhoid is caused by Salmonella typhi.
Who invented the Hyperloop?,Elon Musk invented the Hyperloop.
Who painted the Black Iris?,Georgia O'Keeffe painted the Black Iris.
Which animal is the omnivorous bear?,The grizzly bear is the omnivorous bear.
What famous landmark is in Riyadh?,The famous landmark in Riyadh is Kingdom Centre Tower.
Who wrote The Left Hand of Darkness?,Ursula K. Le Guin wrote The Left Hand of Darkness.
When was the C programming invented?,The C programming was invented in 1972 by Dennis Ritchie.
What is the capital of Pakistan?,The capital of Pakistan is Islamabad.
Who discovered computing algorithms?,Ada Lovelace discovered computing algorithms.
What is the capital of Nepal?,The capital of Nepal is Kathmandu.
Who invented the xerography?,Chester Carlson invented the xerography.
What is the currency of Madagascar?,The currency of Madagascar is the Ariary.
Who invented the airplane?,Wright Brothers invented the airplane.
Which company produces Athletic Shoes?,Nike produces Athletic Shoes.
What year did Moon Landing occur?,Moon Landing occurred in 1969.
When did Magna Carta Signing begin?,Magna Carta Signing began in 1215.
Who discovered electromagnetic waves?,James Clerk Maxwell discovered electromagnetic waves.
Who invented the steel plow?,John Deere invented the steel plow.
What is the currency of Oman?,The currency of Oman is the Rial.
Who is a famous boxing player?,Muhammad Ali is a famous boxing player.
What is the currency of Australia?,The currency of Australia is the Dollar.
What is the capital of Greece?,The capital of Greece is Athens.
What famous landmark is in Manila?,The famous landmark in Manila is Rizal Park.
Who discovered cell theory?,Robert Hooke discovered cell theory.
What country is sushi originally from?,sushi is originally from Japan.
Who is a famous volleyball player?,Karch Kiraly is a famous volleyball player.
Who invented the World Wide Web?,Tim Berners-Lee invented the World Wide Web.
Who invented the Z3 computer?,Konrad Zuse invented the Z3 computer.
What famous landmark is in Bangkok?,The famous landmark in Bangkok is Wat Arun.
When did French and Indian War begin?,French and Indian War began in 1754.
When was the mouse invented?,The mouse was invented in 1968 by Douglas Engelbart.
What year did Suez Crisis occur?,Suez Crisis occurred in 1956.
Where is the Lotus Temple located?,The Lotus Temple is located in India.
Who discovered quantum mechanics?,Niels Bohr discovered quantum mechanics.
Who is a famous bobsleigh player?,Kaillie Humphries is a famous bobsleigh player.
Which animal is the largest land animal?,The elephant is the largest land animal.
Who composed Peer Gynt Suite?,Edvard Grieg composed Peer Gynt Suite.
Where is the Burj Al Arab located?,The Burj Al Arab is located in United Arab Emirates.
Who discovered frequency hopping?,Hedy Lamarr discovered frequency hopping.
What year did Battle of Waterloo occur?,Battle of Waterloo occurred in 1815.
Which animal is the antlered giant?,The moose is the antlered giant.
When was the Microsoft invented?,The Microsoft was invented in 1975 by Paul Allen.
What famous landmark is in Singapore?,The famous landmark in Singapore is Marina Bay Sands.
When was the liquid-fueled rocket invented?,The liquid-fueled rocket was invented in 1926 by Robert Goddard.
When was the air conditioning invented?,The air conditioning was invented in 1902 by Willis Carrier.
When did Napoleonic Wars begin?,Napoleonic Wars began in 1803.
Where is the Potala Palace located?,The Potala Palace is located in China.
Who discovered uncertainty principle?,Werner Heisenberg discovered uncertainty principle.
What causes measles?,measles is caused by Measles virus.
When did Treaty of Westphalia begin?,Treaty of Westphalia began in 1648.
Who wrote The Second Sex?,Simone de Beauvoir wrote The Second Sex.
What causes chickenpox?,chickenpox is caused by Varicella-zoster virus.
What is the currency of Mozambique?,The currency of Mozambique is the Metical.
What is the currency of Egypt?,The currency of Egypt is the Pound.
Who is a famous beach volleyball player?,April Ross is a famous beach volleyball player.
Who is a famous synchronized swimming player?,Natalia Ishchenko is a famous synchronized swimming player.
When was the UNIVAC invented?,The UNIVAC was invented in 1951 by John Mauchly.
What famous landmark is in Athens?,The famous landmark in Athens is Parthenon.
What is the currency of Portugal?,The currency of Portugal is the Euro.
When was the Amazon marketplace invented?,The Amazon marketplace was invented in 1994 by Jeff Bezos.
What famous landmark is in Brussels?,The famous landmark in Brussels is Atomium.
Who is a famous swimming player?,Michael Phelps is a famous swimming player.
Who discovered artificial radioactivity?,Irène Joliot-Curie discovered artificial radioactivity.
Who is a famous racquetball player?,Dave Jensen is a famous racquetball player.
Who painted the Wall Drawing?,Sol LeWitt painted the Wall Drawing.
What famous landmark is in Dublin?,The famous landmark in Dublin is Trinity College Library.
What is the currency of Trinidad and Tobago?,The currency of Trinidad and Tobago is the Dollar.
What is the currency of Honduras?,The currency of Honduras is the Lempira.
Which animal is the spiky rarity?,The echidna is the spiky rarity.
When was the mobile phone invented?,The mobile phone was invented in 1973 by Martin Cooper.
What is the primary language of United Kingdom?,The primary language of United Kingdom is English.
When did Indian Independence begin?,Indian Independence began in 1947.
What is the currency of Indonesia?,The currency of Indonesia is the Rupiah.
What is the capital of Singapore?,The capital of Singapore is Singapore.
Who painted the Starry Night?,Vincent van Gogh painted the Starry Night.
Who painted the Construction?,Sophie Taeuber-Arp painted the Construction.
What is the capital of South Korea?,The capital of South Korea is Seoul.
Who discovered elasticity theory?,Sophie Germain discovered elasticity theory.
Who painted the Cage?,Gerhard Richter painted the Cage.
Who invented the penicillin?,Alexander Fleming invented the penicillin.
Who composed Clair de Lune?,Claude Debussy composed Clair de Lune.
What is the currency of South Sudan?,The currency of South Sudan is the Pound.
What famous landmark is in Oslo?,The famous landmark in Oslo is Oslo Opera House.
What is the capital of Nigeria?,The capital of Nigeria is Abuja.
What is the currency of Costa Rica?,The currency of Costa Rica is the Colón.
Who wrote Wuthering Heights?,Emily Brontë wrote Wuthering Heights.
Where is the Louvre Pyramid located?,The Louvre Pyramid is located in France.
Who wrote Middlemarch?,George Eliot wrote Middlemarch.
Who wrote The Power and the Glory?,Graham Greene wrote The Power and the Glory.
What is the capital of Austria?,The capital of Austria is Vienna.
When was the assembly line invented?,The assembly line was invented in 1913 by Henry Ford.
Which animal is the playful swimmer?,The bottlenose dolphin is the playful swimmer.
Where is the Petra located?,The Petra is located in Jordan.
Who discovered X-ray crystallography?,Dorothy Hodgkin discovered X-ray crystallography.
What is the capital of Philippines?,The capital of Philippines is Manila.
Who discovered periodic table?,Dmitri Mendeleev discovered periodic table.
What year did Chernobyl Disaster occur?,Chernobyl Disaster occurred in 1986.
Who painted the The Birth of Venus?,Sandro Botticelli painted the The Birth of Venus.
What is the capital of Malaysia?,The capital of Malaysia is Kuala Lumpur.
Who wrote The Raven?,Edgar Allan Poe wrote The Raven.
Who discovered stellar composition?,Cecilia Payne-Gaposchkin discovered stellar composition.
Which animal is the fastest bird?,The peregrine falcon is the fastest bird.
When was the incandescent bulb invented?,The incandescent bulb was invented in 1878 by Joseph Swan.
Who wrote The Handmaid's Tale?,Margaret Atwood wrote The Handmaid's Tale.
Who is a famous judo player?,Ronda Rousey is a famous judo player.
Who composed Boléro?,Maurice Ravel composed Boléro.
What is the currency of Turkey?,The currency of Turkey is the Lira.
Who wrote Frankenstein?,Mary Shelley wrote Frankenstein.
What famous landmark is in Toronto?,The famous landmark in Toronto is CN Tower.
Who developed the group theory?,Évariste Galois developed the group theory.
What causes polio?,polio is caused by Poliovirus.
What is the currency of Bolivia?,The currency of Bolivia is the Boliviano.
Who wrote The Great Gatsby?,F. Scott Fitzgerald wrote The Great Gatsby.
Where is the Angkor Wat located?,The Angkor Wat is located in Cambodia.
When was the microwave oven invented?,The microwave oven was invented in 1945 by Percy Spencer.
Who painted the Relief with Birds?,Jean Arp painted the Relief with Birds.
Who discovered Fermat's Last Theorem?,Andrew Wiles discovered Fermat's Last Theorem.
When did Partition of India begin?,Partition of India began in 1947.
Which animal is the largest marsupial?,The red kangaroo is the largest marsupial.
Who is a famous tennis player?,Serena Williams is a famous tennis player.
Which animal is the apex ocean predator?,The great white shark is the apex ocean predator.
Who wrote The Old Man and the Sea?,Ernest Hemingway wrote The Old Man and the Sea.
What famous landmark is in New York?,The famous landmark in New York is Statue of Liberty.
Who is a famous wrestling player?,Aleksandr Karelin is a famous wrestling player.
Who invented the analytical engine?,Charles Babbage invented the analytical engine.
Who composed The Four Seasons?,Antonio Vivaldi composed The Four Seasons.
Who painted the Self-Portrait with Thorn Necklace?,Frida Kahlo painted the Self-Portrait with Thorn Necklace.
Where is the Pantheon located?,The Pantheon is located in Italy.
Who discovered incompleteness theorems?,Kurt Gödel discovered incompleteness theorems.
What is the currency of Thailand?,The currency of Thailand is the Baht.
Who composed Requiem?,Gabriel Fauré composed Requiem.
What country is tacos originally from?,tacos is originally from Mexico.
What causes influenza?,influenza is caused by Influenza viruses.
What causes meningitis?,meningitis is caused by Neisseria meningitidis.
Who composed Swan Lake?,Pyotr Ilyich Tchaikovsky composed Swan Lake.
When did Industrial Revolution begin?,Industrial Revolution began in 1760.
Who painted the Venus of Urbino?,Titian painted the Venus of Urbino.
When did American Independence begin?,American Independence began in 1776.
Who is a famous ice hockey player?,Wayne Gretzky is a famous ice hockey player.
What is the primary language of China?,The primary language of China is Mandarin Chinese.
Who discovered genetics?,Gregor Mendel discovered genetics.
Who is a famous figure skating player?,Yuna Kim is a famous figure skating player.
Who painted the Campbell's Soup Cans?,Andy Warhol painted the Campbell's Soup Cans.
When was the jet engine invented?,The jet engine was invented in 1937 by Frank Whittle.
Which animal is the migrating herd?,The blue wildebeest is the migrating herd.
Who discovered DNA structure?,Rosalind Franklin discovered DNA structure.
Who painted the Infinity Mirrored Room?,Yayoi Kusama painted the Infinity Mirrored Room.
What year did October Revolution occur?,October Revolution occurred in 1917.
What is the capital of United States?,"The capital of United States is Washington, D.C.."
What is the capital of Indonesia?,The capital of Indonesia is Jakarta.
What causes tuberculosis?,tuberculosis is caused by Mycobacterium tuberculosis.
What famous landmark is in Kuala Lumpur?,The famous landmark in Kuala Lumpur is Petronas Towers.
What famous landmark is in Zurich?,The famous landmark in Zurich is Grossmünster.
Who painted the Unique Forms of Continuity in Space?,Umberto Boccioni painted the Unique Forms of Continuity in Space.
What causes brucellosis?,brucellosis is caused by Brucella.
Who wrote The Stranger?,Albert Camus wrote The Stranger.
What is the capital of Somalia?,The capital of Somalia is Mogadishu.
What is the capital of Honduras?,The capital of Honduras is Tegucigalpa.
When was the steam engine invented?,The steam engine was invented in 1765 by James Watt.
What is the primary language of Brazil?,The primary language of Brazil is Portuguese.
What is the capital of Israel?,The capital of Israel is Jerusalem.
When was the mechanical reaper invented?,The mechanical reaper was invented in 1831 by Cyrus McCormick.
What is the capital of Chile?,The capital of Chile is Santiago.
Who is a famous speed skating player?,Ireen Wüst is a famous speed skating player.
When was the electrolysis invented?,The electrolysis was invented in 1807 by Humphry Davy.
When did Cold War begin?,Cold War began in 1947.
When did Vietnam War begin?,Vietnam War began in 1955.
What is the currency of Netherlands?,The currency of Netherlands is the Euro.
What is the capital of Canada?,The capital of Canada is Ottawa.
Who composed Pictures at an Exhibition?,Modest Mussorgsky composed Pictures at an Exhibition.
Who wrote I Know Why the Caged Bird Sings?,Maya Angelou wrote I Know Why the Caged Bird Sings.
When was the steamboat invented?,The steamboat was invented in 1807 by Robert Fulton.
Who composed Messiah?,George Frideric Handel composed Messiah.
Who discovered wave optics?,Christiaan Huygens discovered wave optics.
Who painted the Seated Woman with Bent Knee?,Egon Schiele painted the Seated Woman with Bent Knee.
Who wrote Because I could not stop for Death?,Emily Dickinson wrote Because I could not stop for Death.
What causes gonorrhea?,gonorrhea is caused by Neisseria gonorrhoeae.
What causes botulism?,botulism is caused by Clostridium botulinum.
Who wrote The Metamorphosis?,Franz Kafka wrote The Metamorphosis.
Who is a famous rowing player?,Steve Redgrave is a famous rowing player.
Who painted the The Third of May 1808?,Francisco Goya painted the The Third of May 1808.
What is the currency of Ukraine?,The currency of Ukraine is the Hryvnia.
Who wrote American Gods?,Neil Gaiman wrote American Gods.
What causes Q fever?,Q fever is caused by Coxiella burnetii.
Who is a famous badminton player?,Lin Dan is a famous badminton player.
Which animal is the largest animal?,The blue whale is the largest animal.
When was the electric motor invented?,The electric motor was invented in 1821 by Michael Faraday.
What is the currency of Japan?,The currency of Japan is the Yen.
When was the Hyperloop invented?,The Hyperloop was invented in 2013 by Elon Musk.
Which animal is the elusive predator?,The snow leopard is the elusive predator.
Which animal is the eucalyptus eater?,The koala is the eucalyptus eater.
Which animal is the deep-sea mystery?,The giant squid is the deep-sea mystery.
When did Moon Landing begin?,Moon Landing began in 1969.
Which company produces Search Engine?,Google produces Search Engine.
Who wrote Portnoy's Complaint?,Philip Roth wrote Portnoy's Complaint.
When was the telephone invented?,The telephone was invented in 1876 by Alexander Graham Bell.
What famous landmark is in Warsaw?,The famous landmark in Warsaw is Palace of Culture and Science.
What is the primary language of Russia?,The primary language of Russia is Russian.
What year did Crusades occur?,Crusades occurred in 1095.
What country is kimchi originally from?,kimchi is originally from South Korea.
Who discovered expanding universe?,Edwin Hubble discovered expanding universe.
What is the capital of Libya?,The capital of Libya is Tripoli.
Who discovered transistor?,John Bardeen discovered transistor.
Who wrote The Waste Land?,T.S. Eliot wrote The Waste Land.
Who painted the Mont Sainte-Victoire?,Paul Cézanne painted the Mont Sainte-Victoire.
When was the Turing machine invented?,The Turing machine was invented in 1936 by Alan Turing.
Who wrote Slaughterhouse-Five?,Kurt Vonnegut wrote Slaughterhouse-Five.
What causes smallpox?,smallpox is caused by Variola virus.
Who discovered Riemann geometry?,Bernhard Riemann discovered Riemann geometry.
What is the capital of United Kingdom?,The capital of United Kingdom is London.
Which company produces Electric Cars?,Tesla produces Electric Cars.
What famous landmark is in Buenos Aires?,The famous landmark in Buenos Aires is Obelisk of Buenos Aires.
Who invented the refrigerator?,William Cullen invented the refrigerator.
What is the capital of Algeria?,The capital of Algeria is Algiers.
When did October Revolution begin?,October Revolution began in 1917.
What is the capital of Poland?,The capital of Poland is Warsaw.
What year did Napoleonic Wars occur?,Napoleonic Wars occurred in 1803.
What is the currency of Paraguay?,The currency of Paraguay is the Guaraní.
Who wrote Half of a Yellow Sun?,Chimamanda Ngozi Adichie wrote Half of a Yellow Sun.
Which animal is the stealthy ambush?,The jaguar is the stealthy ambush.
Who composed Glassworks?,Philip Glass composed Glassworks.
What causes syphilis?,syphilis is caused by Treponema pallidum.
Who composed Symphony No. 1?,Gustav Mahler composed Symphony No. 1.
What is the currency of Singapore?,The currency of Singapore is the Dollar.
When was the radio invented?,The radio was invented in 1901 by Guglielmo Marconi.
When was the iPhone invented?,The iPhone was invented in 2007 by Steve Jobs.
What is the capital of South Sudan?,The capital of South Sudan is Juba.
What is the currency of Sweden?,The currency of Sweden is the Krona.
What year did Hundred Years' War occur?,Hundred Years' War occurred in 1337.
Who painted the Detroit Industry Murals?,Diego Rivera painted the Detroit Industry Murals.
Where is the Brandenburg Gate located?,The Brandenburg Gate is located in Germany.
Which animal is the toothy reptile?,The nile crocodile is the toothy reptile.
When was the steel plow invented?,The steel plow was invented in 1837 by John Deere.
What is the currency of Bulgaria?,The currency of Bulgaria is the Lev.
Who discovered pasteurization?,Louis Pasteur discovered pasteurization.
Who invented the MS-DOS?,Tim Paterson invented the MS-DOS.
What causes ebola?,ebola is caused by Ebola virus.
What is the capital of Iraq?,The capital of Iraq is Baghdad.
Who composed The Magic Flute?,Wolfgang Amadeus Mozart composed The Magic Flute.
When was the steam locomotive invented?,The steam locomotive was invented in 1804 by Richard Trevithick.
What causes filariasis?,filariasis is caused by Wuchereria bancrofti.
What is the currency of Colombia?,The currency of Colombia is the Peso.
Who painted the School of Athens?,Raphael painted the School of Athens.
Who painted the Mona Lisa?,Leonardo da Vinci painted the Mona Lisa.
What is the capital of Lebanon?,The capital of Lebanon is Beirut.
Who invented the dynamite?,Alfred Nobel invented the dynamite.
Which animal is the tundra traveler?,The caribou is the tundra traveler.
Who wrote Little Women?,Louisa May Alcott wrote Little Women.
What causes whooping cough?,whooping cough is caused by Bordetella pertussis.
Who painted the The Calling of St. Matthew?,Caravaggio painted the The Calling of St. Matthew.
Who wrote A Tale of Two Cities?,Charles Dickens wrote A Tale of Two Cities.
Who composed A Midsummer Night's Dream?,Felix Mendelssohn composed A Midsummer Night's Dream.
What is the currency of Philippines?,The currency of Philippines is the Peso.
Who composed Appalachian Spring?,Aaron Copland composed Appalachian Spring.
What is the capital of Zambia?,The capital of Zambia is Lusaka.
What year did Civil Rights Movement occur?,Civil Rights Movement occurred in 1963.
What year did Magna Carta Signing occur?,Magna Carta Signing occurred in 1215.
Who is a famous skeleton player?,Lizzy Yarnold is a famous skeleton player.
Who painted the The Child's Bath?,Mary Cassatt painted the The Child's Bath.
What is the currency of Botswana?,The currency of Botswana is the Pula.
Which animal is the national bird of the US?,The bald eagle is the national bird of the US.
Who composed Pomp and Circumstance March No. 1?,Edward Elgar composed Pomp and Circumstance March No. 1.
Who is a famous weightlifting player?,Lasha Talakhadze is a famous weightlifting player.
Who invented the locomotive?,George Stephenson invented the locomotive.
What is the currency of Morocco?,The currency of Morocco is the Dirham.
Who wrote As I Lay Dying?,William Faulkner wrote As I Lay Dying.
What famous landmark is in Helsinki?,The famous landmark in Helsinki is Sibelius Monument.
When did Iranian Revolution begin?,Iranian Revolution began in 1979.
Who wrote Murder on the Orient Express?,Agatha Christie wrote Murder on the Orient Express.
Who discovered black hole concept?,John Wheeler discovered black hole concept.
Which animal is the black and white?,The plains zebra is the black and white.
What famous landmark is in Paris?,The famous landmark in Paris is Eiffel Tower.
Who developed the Riemann hypothesis?,Bernhard Riemann developed the Riemann hypothesis.
Who invented the AC electricity?,Nikola Tesla invented the AC electricity.
Where is the Chichén Itzá located?,The Chichén Itzá is located in Mexico.
Who is a famous alpine skiing player?,Lindsey Vonn is a famous alpine skiing player.
What causes onchocerciasis?,onchocerciasis is caused by Onchocerca volvulus.
What is the currency of Saudi Arabia?,The currency of Saudi Arabia is the Riyal.
Which company produces iPhone?,Apple produces iPhone.
Who discovered environmental chemistry?,Ellen Swallow Richards discovered environmental chemistry.
Who discovered radioactivity?,Marie Curie discovered radioactivity.
Who is a famous archery player?,Ki Bo-bae is a famous archery player.
What famous landmark is in Moscow?,The famous landmark in Moscow is Kremlin.
What is the capital of Zimbabwe?,The capital of Zimbabwe is Harare.
Who painted the Nighthawks?,Edward Hopper painted the Nighthawks.
What is the capital of Denmark?,The capital of Denmark is Copenhagen.
What is the capital of Russia?,The capital of Russia is Moscow.
Who developed the geometry?,Euclid developed the geometry.
Who wrote Of Mice and Men?,John Steinbeck wrote Of Mice and Men.
Who discovered nuclear fission?,Enrico Fermi discovered nuclear fission.
When was the refrigerator invented?,The refrigerator was invented in 1748 by William Cullen.
Who invented the Polaroid camera?,Edwin Land invented the Polaroid camera.
What is the capital of China?,The capital of China is Beijing.
When did Crusades begin?,Crusades began in 1095.
Which animal is the killer whale?,The orca is the killer whale.
When did Battle of Stalingrad begin?,Battle of Stalingrad began in 1942.
Where is the Westminster Abbey located?,The Westminster Abbey is located in United Kingdom.
What is the currency of United Arab Emirates?,The currency of United Arab Emirates is the Dirham.
What famous landmark is in Hong Kong?,The famous landmark in Hong Kong is Victoria Peak.
Who invented the Turing machine?,Alan Turing invented the Turing machine.
Who is a famous diving player?,Greg Louganis is a famous diving player.
When was the circus invented?,The circus was invented in 1871 by Phineas Barnum.
What is the capital of Paraguay?,The capital of Paraguay is Asunción.
What is the capital of Colombia?,The capital of Colombia is Bogotá.
What causes ascariasis?,ascariasis is caused by Ascaris lumbricoides.
What causes zika?,zika is caused by Zika virus.
Where is the Acropolis located?,The Acropolis is located in Greece.
When did World War I begin?,World War I began in 1914.
Who is a famous ultimate frisbee player?,Tristan Alif Naufal is a famous ultimate frisbee player.
Who is a famous cross-country skiing player?,Marit Bjørgen is a famous cross-country skiing player.
What is the capital of Uruguay?,The capital of Uruguay is Montevideo.
When did Renaissance begin?,Renaissance began in 1300.
Where is the Milwaukee Art Museum located?,The Milwaukee Art Museum is located in United States.
When was the frequency hopping invented?,The frequency hopping was invented in 1942 by Hedy Lamarr.
Who wrote One Hundred Years of Solitude?,Gabriel García Márquez wrote One Hundred Years of Solitude.
Who composed Wozzeck?,Alban Berg composed Wozzeck.
When was the Google search invented?,The Google search was invented in 1998 by Larry Page.
Which animal is the nocturnal hider?,The kiwi is the nocturnal hider.
What is the capital of Oman?,The capital of Oman is Muscat.
What is the capital of Turkey?,The capital of Turkey is Ankara.
What causes hookworm infection?,hookworm infection is caused by Necator americanus.
Which animal is the jungle kicker?,The cassowary is the jungle kicker.
Where is the Machu Picchu located?,The Machu Picchu is located in Peru.
Which company produces E-commerce Platform?,Amazon produces E-commerce Platform.
Who composed Symphony No. 3?,Robert Schumann composed Symphony No. 3.
Who invented the Google search?,Larry Page invented the Google search.
When did Pearl Harbor Attack begin?,Pearl Harbor Attack began in 1941.
What is the capital of Mexico?,The capital of Mexico is Mexico City.
Who invented the lightning rod?,Benjamin Franklin invented the lightning rod.
What famous landmark is in Munich?,The famous landmark in Munich is Nymphenburg Palace.
Who discovered symmetry in physics?,Emmy Noether discovered symmetry in physics.
When did Chernobyl Disaster begin?,Chernobyl Disaster began in 1986.
Who painted the Benefits Supervisor Sleeping?,Lucian Freud painted the Benefits Supervisor Sleeping.
Who painted the Sistine Chapel Ceiling?,Michelangelo painted the Sistine Chapel Ceiling.
What year did French Revolution of 1848 occur?,French Revolution of 1848 occurred in 1848.
Where is the Mount Rushmore located?,The Mount Rushmore is located in United States.
What causes mad cow disease?,mad cow disease is caused by BSE prion.
Who is a famous soccer player?,Lionel Messi is a famous soccer player.
Who composed Pierrot Lunaire?,Arnold Schoenberg composed Pierrot Lunaire.
Who wrote Nausea?,Jean-Paul Sartre wrote Nausea.
What is the currency of Guatemala?,The currency of Guatemala is the Quetzal.
Who wrote Interpreter of Maladies?,Jhumpa Lahiri wrote Interpreter of Maladies.
Who is a famous netball player?,Irene van Dyk is a famous netball player.
When was the insulin invented?,The insulin was invented in 1921 by Frederick Banting.
What causes leishmaniasis?,leishmaniasis is caused by Leishmania.
What is the capital of Hungary?,The capital of Hungary is Budapest.
When was the Unix invented?,The Unix was invented in 1970 by Ken Thompson.
Where is the Statue of Liberty located?,The Statue of Liberty is located in United States.
Who painted the Portrait of Barack Obama?,Kehinde Wiley painted the Portrait of Barack Obama.
What is the currency of Zambia?,The currency of Zambia is the Kwacha.
What is the capital of Ghana?,The capital of Ghana is Accra.
